px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.4429	-5.23281	-2.78396	2.19569	0.484955	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	0.85641
7.50924	-5.38364	-2.80119	2.19654	0.459077	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0.538565
7.59427	-5.50992	-2.78251	2.21519	0.45053	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.320484
7.67564	-5.64194	-2.78747	2.22865	0.439333	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.102861
7.74935	-5.75535	-2.72755	2.24108	0.424813	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.00459
7.81497	-5.89749	-2.73631	2.23733	0.398096	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0.597976
7.93028	-6.03874	-2.91759	2.26666	0.416718	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	7.84495
8.00463	-6.17514	-2.93084	2.26514	0.394412	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.427015
8.097	-6.29507	-2.87492	2.27892	0.383338	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.33729
8.18924	-6.4258	-2.87885	2.28845	0.371851	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.104806
8.271	-6.53543	-2.8094	2.29849	0.359386	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.33269
8.34197	-6.68074	-2.81612	2.28683	0.328309	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.764047
8.43176	-6.79639	-2.7979	2.29798	0.321197	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.38646
8.51194	-6.9275	-2.79734	2.29582	0.301737	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.332206
8.5869	-7.02736	-2.75307	2.30227	0.292118	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.756504
8.64403	-7.16412	-2.75982	2.2822	0.257958	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.959353
8.75603	-7.29689	-2.90005	2.29675	0.264346	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	4.95035
8.81895	-7.44365	-2.9116	2.27412	0.228889	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	1.03616
8.88689	-7.54992	-2.76077	2.26999	0.206702	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	6.343
8.9486	-7.69565	-2.76169	2.24841	0.174273	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.876546
